# feature	class	assembly	assembly_unit	seq_type	chromosome	genomic_accession	start	end	strand	product_accession	non-redundant_refseq	related_accession	name	symbol	GeneID	locus_tag	feature_interval_length	product_length	attributes
gene	protein_coding	GCA_016696765.1	Primary Assembly	chromosome		CP065313.1	2887051	235	+					hydE		I5Q81_00005	1134		
CDS	with_protein	GCA_016696765.1	Primary Assembly	chromosome		CP065313.1	2887051	235	+	QQQ96802.1			[FeFe] hydrogenase H-cluster radical SAM maturase HydE	hydE		I5Q81_00005	1134	377	
gene	protein_coding	GCA_016696765.1	Primary Assembly	chromosome		CP065313.1	355	1125	+							I5Q81_00010	771		
CDS	with_protein	GCA_016696765.1	Primary Assembly	chromosome		CP065313.1	355	1125	+	QQQ96803.1			triose-phosphate isomerase			I5Q81_00010	771	256	
gene	protein_coding	GCA_016696765.1	Primary Assembly	chromosome		CP065313.1	1141	1506	+					secG		I5Q81_00015	366		
CDS	with_protein	GCA_016696765.1	Primary Assembly	chromosome		CP065313.1	1141	1506	+	QQQ96804.1			preprotein translocase subunit SecG	secG		I5Q81_00015	366	121	
gene	tRNA	GCA_016696765.1	Primary Assembly	chromosome		CP065313.1	1527	1611	+							I5Q81_00020	85		
tRNA		GCA_016696765.1	Primary Assembly	chromosome		CP065313.1	1527	1611	+				tRNA-Leu			I5Q81_00020	85		anticodon=GAG
gene	protein_coding	GCA_016696765.1	Primary Assembly	chromosome		CP065313.1	2138	2656	+							I5Q81_00025	519		
CDS	with_protein	GCA_016696765.1	Primary Assembly	chromosome		CP065313.1	2138	2656	+	QQQ96805.1			GNAT family N-acetyltransferase			I5Q81_00025	519	172	
gene	tRNA	GCA_016696765.1	Primary Assembly	chromosome		CP065313.1	2883	2967	-							I5Q81_00030	85		
tRNA		GCA_016696765.1	Primary Assembly	chromosome		CP065313.1	2883	2967	-				tRNA-Leu			I5Q81_00030	85		anticodon=GAG
gene	protein_coding	GCA_016696765.1	Primary Assembly	chromosome		CP065313.1	3435	4361	+					cysK		I5Q81_00035	927		
CDS	with_protein	GCA_016696765.1	Primary Assembly	chromosome		CP065313.1	3435	4361	+	QQQ96806.1			cysteine synthase A	cysK		I5Q81_00035	927	308	
gene	protein_coding	GCA_016696765.1	Primary Assembly	chromosome		CP065313.1	4779	5681	+							I5Q81_00040	903		
CDS	with_protein	GCA_016696765.1	Primary Assembly	chromosome		CP065313.1	4779	5681	+	QQQ96807.1			formate dehydrogenase accessory protein FdhE			I5Q81_00040	903	300	
gene	tRNA	GCA_016696765.1	Primary Assembly	chromosome		CP065313.1	5974	6049	-							I5Q81_00045	76		
tRNA		GCA_016696765.1	Primary Assembly	chromosome		CP065313.1	5974	6049	-				tRNA-Glu			I5Q81_00045	76		anticodon=CTC
gene	protein_coding	GCA_016696765.1	Primary Assembly	chromosome		CP065313.1	6117	7421	-					lplT		I5Q81_00050	1305		
CDS	with_protein	GCA_016696765.1	Primary Assembly	chromosome		CP065313.1	6117	7421	-	QQQ96808.1			lysophospholipid transporter LplT	lplT		I5Q81_00050	1305	434	
gene	protein_coding	GCA_016696765.1	Primary Assembly	chromosome		CP065313.1	7542	8075	+							I5Q81_00055	534		
