Aminotran_1_2	363	CP065311.1_1	243	3.2e-28	43	233	55	237	0.523415977961
Pribosyltran	159	CP065311.1_1006	214	6e-15	30	138	70	175	0.679245283019
NUDIX	131	CP065311.1_1008	348	6.1e-18	13	130	25	161	0.893129770992
T2SSE	273	CP065311.1_1011	394	8.5e-56	4	272	61	338	0.981684981685
AAA	132	CP065311.1_1017	851	3e-11	2	124	41	171	0.924242424242
ACT	67	CP065311.1_1020	189	5.5e-13	3	63	37	96	0.89552238806
ACT	67	CP065311.1_1020	189	1.8e-09	2	38	115	151	0.537313432836
HTH_IclR	52	CP065311.1_1047	273	5.3e-13	2	51	41	88	0.942307692308
IclR	129	CP065311.1_1047	273	5.9e-18	7	127	156	262	0.93023255814
AsnC_trans_reg	75	CP065311.1_1050	93	4.7e-18	1	75	6	77	0.986666666667
Pyr_redox_2	292	CP065311.1_1051	449	2.7e-63	2	292	4	306	0.993150684932
EPSP_synthase	417	CP065311.1_1052	441	2e-60	3	417	12	432	0.992805755396
TetR_N	47	CP065311.1_1059	206	1.7e-10	7	44	23	60	0.787234042553
Aminotran_1_2	363	CP065311.1_1062	397	2.6e-51	2	363	34	386	0.994490358127
TPR_2	34	CP065311.1_1063	947	4.4e-05	3	33	733	763	0.882352941176
PfkB	302	CP065311.1_1066	352	3.1e-20	6	293	21	323	0.950331125828
CbiA	128	CP065311.1_1079	548	9.4e-08	8	88	112	272	0.625
ACT	67	CP065311.1_1083	185	6.9e-19	1	66	14	79	0.970149253731
Aminotran_1_2	363	CP065311.1_1098	395	7.3e-55	2	363	33	389	0.994490358127
SBP_bac_3	225	CP065311.1_1102	303	3.2e-53	1	210	65	267	0.928888888889
SBP_bac_3	225	CP065311.1_1124	361	8.4e-05	34	156	71	196	0.542222222222
LacI	46	CP065311.1_1128	353	9.7e-15	1	46	3	50	0.978260869565
Peripla_BP_3	164	CP065311.1_1128	353	6.2e-28	2	147	170	312	0.884146341463
PfkB	302	CP065311.1_1130	517	7.8e-09	155	284	348	490	0.427152317881
Aminotran_1_2	363	CP065311.1_1143	389	9.1e-57	6	363	33	378	0.98347107438
LexA_DNA_bind	65	CP065311.1_1155	232	8e-26	2	65	17	80	0.969230769231
ACT	67	CP065311.1_1158	401	8.6e-06	8	47	336	374	0.582089552239
SBP_bac_5	377	CP065311.1_1172	542	1.5e-75	1	375	79	463	0.992042440318
PfkB	302	CP065311.1_1177	299	1.5e-40	32	296	20	282	0.87417218543
MarR	59	CP065311.1_1178	402	4.2e-06	5	47	17	59	0.71186440678
NUDIX	131	CP065311.1_1180	176	8.3e-16	6	122	24	141	0.885496183206
HTH_3	55	CP065311.1_1188	103	1.4e-15	1	54	35	89	0.963636363636
Response_reg	112	CP065311.1_1193	273	1.9e-14	3	82	84	167	0.705357142857
GerE	57	CP065311.1_1193	273	3.5e-15	2	56	211	265	0.947368421053
Sigma70_r2	71	CP065311.1_1197	251	3.2e-16	7	70	31	92	0.887323943662
Sigma70_r4_2	54	CP065311.1_1197	251	4.8e-16	2	54	134	186	0.962962962963
CbiA	128	CP065311.1_1208	280	7.4e-24	1	122	28	246	0.9453125
NUDIX	131	CP065311.1_1209	270	1.8e-07	19	120	41	141	0.770992366412
ACT	67	CP065311.1_1213	372	9.3e-05	11	47	261	297	0.537313432836
SBP_bac_5	377	CP065311.1_1219	547	1.7e-66	4	376	83	465	0.986737400531
HTH_8	42	CP065311.1_122	174	5.5e-05	22	37	103	118	0.357142857143
Response_reg	112	CP065311.1_1234	228	2.4e-25	1	104	3	106	0.919642857143
GerE	57	CP065311.1_1234	228	2.8e-16	2	54	156	208	0.912280701754
HTH_3	55	CP065311.1_1247	183	3e-10	1	52	115	166	0.927272727273
Glycos_trans_3N	63	CP065311.1_1254	351	1.8e-17	1	63	7	69	0.984126984127
Pkinase	264	CP065311.1_1257	742	6.5e-54	1	259	19	275	0.977272727273
Sigma70_r2	71	CP065311.1_1260	509	5.2e-24	1	70	274	343	0.971830985915
Sigma70_r3	78	CP065311.1_1260	509	4.2e-30	1	77	353	429	0.974358974359
Sigma70_r4	50	CP065311.1_1260	509	1.3e-19	1	50	442	495	0.98
HATPase_c	111	CP065311.1_1261	780	4e-21	1	93	34	139	0.828828828829
PglZ	176	CP065311.1_1268	426	9.8e-05	108	171	234	296	0.357954545455
HD	122	CP065311.1_1272	779	1.4e-11	1	121	67	163	0.983606557377
ACT	67	CP065311.1_1272	779	3.8e-13	3	66	687	750	0.940298507463
AAA	132	CP065311.1_1287	443	3.7e-17	1	98	136	242	0.734848484848
Aminotran_1_2	363	CP065311.1_1288	407	1e-35	2	362	31	385	0.99173553719
Fer4	24	CP065311.1_1292	319	1.8e-05	6	22	230	246	0.666666666667
PfkB	302	CP065311.1_1297	290	5.1e-06	173	282	133	253	0.360927152318
Aminotran_1_2	363	CP065311.1_1298	441	7.4e-11	25	234	48	227	0.575757575758
Response_reg	112	CP065311.1_1303	235	5.2e-30	1	111	9	123	0.982142857143
GerE	57	CP065311.1_1303	235	5.6e-23	2	57	173	228	0.964912280702
HATPase_c	111	CP065311.1_1304	838	3.5e-06	5	109	325	414	0.936936936937
AraC_binding	136	CP065311.1_1308	119	9.9e-05	14	63	47	96	0.360294117647
PALP	294	CP065311.1_132	340	1.2e-64	2	294	8	299	0.993197278912
FeoA	74	CP065311.1_1325	89	1.4e-14	2	73	11	80	0.959459459459
HTH_IclR	52	CP065311.1_1328	171	7.7e-05	8	51	61	103	0.826923076923
SBP_bac_3	225	CP065311.1_1340	322	4.6e-08	36	187	64	219	0.671111111111
HATPase_c	111	CP065311.1_1351	493	1e-14	2	107	388	487	0.945945945946
Pribosyltran	159	CP065311.1_1360	256	3.9e-09	51	128	154	248	0.48427672956
HisKA	64	CP065311.1_1361	366	1.3e-16	2	64	135	198	0.96875
HATPase_c	111	CP065311.1_1361	366	2.2e-19	1	109	243	354	0.972972972973
Response_reg	112	CP065311.1_1362	240	1.8e-30	1	112	14	123	0.991071428571
Trans_reg_C	77	CP065311.1_1362	240	6.7e-26	1	77	163	234	0.987012987013
NUDIX	131	CP065311.1_1375	210	5.1e-12	3	115	56	168	0.854961832061
Response_reg	112	CP065311.1_1376	253	1.4e-30	1	111	40	149	0.982142857143
ANTAR	54	CP065311.1_1376	253	3.8e-20	2	54	189	241	0.962962962963
SBP_bac_5	377	CP065311.1_138	617	1e-75	1	359	169	525	0.949602122016
NUDIX	131	CP065311.1_1380	218	8.2e-16	15	120	84	194	0.801526717557
EPSP_synthase	417	CP065311.1_1383	461	8e-96	5	415	16	451	0.983213429257
CbiA	128	CP065311.1_1392	219	2.7e-06	2	63	11	214	0.4765625
ATPase_2	233	CP065311.1_1393	398	6.6e-05	24	132	48	179	0.463519313305
HTH_3	55	CP065311.1_1395	336	6.4e-16	1	55	7	61	0.981818181818
GntR	64	CP065311.1_1396	140	7.7e-17	2	64	14	76	0.96875
AAA	132	CP065311.1_14	505	3.3e-18	1	123	62	166	0.924242424242
Aminotran_1_2	363	CP065311.1_1404	400	2e-34	34	354	53	379	0.881542699725
Pribosyltran	159	CP065311.1_1407	208	2.5e-09	20	115	57	160	0.59748427673
SKI	158	CP065311.1_1419	552	2.3e-40	1	157	23	182	0.987341772152
SIS	131	CP065311.1_142	635	2e-33	6	128	314	435	0.931297709924
SIS	131	CP065311.1_142	635	5.6e-21	2	128	483	614	0.961832061069
Response_reg	112	CP065311.1_143	229	2.6e-17	1	106	14	125	0.9375
GerE	57	CP065311.1_143	229	1e-17	2	55	167	220	0.929824561404
Aminotran_1_2	363	CP065311.1_1430	424	2.5e-06	11	188	25	215	0.487603305785
CBS	57	CP065311.1_1439	463	8.5e-08	4	54	225	276	0.877192982456
CBS	57	CP065311.1_1439	463	2.5e-07	2	55	289	341	0.929824561404
GATase_2	420	CP065311.1_1452	1533	6e-166	1	420	37	447	0.997619047619
Pyr_redox_2	292	CP065311.1_1453	512	8.8e-32	2	292	147	478	0.993150684932
SBP_bac_3	225	CP065311.1_147	312	2.2e-55	1	223	71	294	0.986666666667
Pribosyltran	159	CP065311.1_1470	232	3.2e-20	7	141	43	181	0.842767295597
NUDIX	131	CP065311.1_1472	179	2e-13	4	93	25	114	0.679389312977
HxlR	91	CP065311.1_1473	115	1.3e-21	1	88	19	107	0.956043956044
HTH_1	60	CP065311.1_1477	309	1.7e-18	3	59	5	61	0.933333333333
LysR_substrate	209	CP065311.1_1477	309	7.6e-12	36	207	119	297	0.818181818182
Pyr_redox_2	292	CP065311.1_1478	591	2.9e-40	1	292	7	302	0.996575342466
SBP_bac_3	225	CP065311.1_148	310	9.7e-55	1	223	71	294	0.986666666667
Aminotran_1_2	363	CP065311.1_1497	560	4.8e-51	2	348	189	536	0.953168044077
AsnC_trans_reg	75	CP065311.1_1498	173	1.8e-15	1	75	74	148	0.986666666667
Aminotran_1_2	363	CP065311.1_1499	400	2.8e-77	2	363	28	377	0.994490358127
HTH_DeoR	57	CP065311.1_1503	367	4.4e-07	8	51	17	62	0.754385964912
AAA	132	CP065311.1_1520	364	6.4e-20	1	126	77	196	0.94696969697
Pribosyltran	159	CP065311.1_1522	194	1.2e-12	28	118	68	163	0.566037735849
FHA	69	CP065311.1_1541	147	2.9e-24	1	69	68	131	0.985507246377
PALP	294	CP065311.1_1551	695	3.2e-45	4	288	323	653	0.965986394558
Citrate_synt	361	CP065311.1_156	431	7.5e-117	4	361	46	413	0.98891966759
Peptidase_M23	96	CP065311.1_1575	213	3.3e-09	2	92	102	190	0.9375
SBP_bac_3	225	CP065311.1_1586	297	1.5e-30	3	217	43	267	0.951111111111
Pribosyltran	159	CP065311.1_1594	340	1.5e-16	28	125	172	267	0.610062893082
PALP	294	CP065311.1_1598	496	1.8e-17	28	277	100	410	0.84693877551
TrkA_C	70	CP065311.1_1602	217	7.3e-13	4	66	150	214	0.885714285714
TPR_2	34	CP065311.1_1606	558	8e-05	6	31	304	329	0.735294117647
HD	122	CP065311.1_1608	162	1.8e-12	1	121	38	146	0.983606557377
Arg_repressor	70	CP065311.1_1612	182	3.2e-20	2	67	21	86	0.928571428571
AAA	132	CP065311.1_163	490	4.6e-05	1	70	16	104	0.522727272727
Pyr_redox_2	292	CP065311.1_1632	494	4.6e-60	1	292	6	346	0.996575342466
CbiA	128	CP065311.1_1636	371	2.3e-13	2	55	123	237	0.4140625
CBS	57	CP065311.1_166	512	8e-11	5	51	107	153	0.80701754386
CBS	57	CP065311.1_166	512	3.1e-07	1	53	166	219	0.912280701754
HTH_IclR	52	CP065311.1_172	412	6.4e-08	8	49	20	61	0.788461538462
SBP_bac_1	315	CP065311.1_180	426	4.9e-41	4	315	45	344	0.987301587302
LacI	46	CP065311.1_181	339	5e-11	2	44	8	50	0.913043478261
Peripla_BP_3	164	CP065311.1_181	339	1.1e-41	1	164	170	330	0.993902439024
AAA	132	CP065311.1_195	699	1e-46	1	131	254	386	0.984848484848
Pribosyltran	159	CP065311.1_196	188	1.3e-28	8	158	17	164	0.943396226415
SBP_bac_3	225	CP065311.1_20	280	3.8e-55	1	221	40	257	0.977777777778
LacI	46	CP065311.1_204	339	9.7e-23	1	46	6	51	0.978260869565
Peripla_BP_3	164	CP065311.1_204	339	3.7e-32	1	164	171	330	0.993902439024
SBP_bac_1	315	CP065311.1_208	448	7.3e-35	9	309	50	333	0.952380952381
Peripla_BP_3	164	CP065311.1_213	361	1.4e-36	3	163	190	355	0.975609756098
HATPase_c	111	CP065311.1_241	463	5.8e-24	1	109	310	422	0.972972972973
AAA	132	CP065311.1_26	851	3e-15	2	112	216	331	0.833333333333
AAA	132	CP065311.1_26	851	1.7e-11	2	111	553	671	0.825757575758
Response_reg	112	CP065311.1_267	237	1.6e-18	1	111	11	123	0.982142857143
GerE	57	CP065311.1_267	237	2.5e-21	1	57	174	230	0.982456140351
DeoRC	160	CP065311.1_276	234	1.2e-06	4	56	8	65	0.325
HisKA	64	CP065311.1_31	603	2.4e-18	2	64	322	390	0.96875
HATPase_c	111	CP065311.1_31	603	1.7e-20	1	110	452	598	0.981981981982
MarR	59	CP065311.1_319	364	7.1e-06	7	47	13	53	0.677966101695
Response_reg	112	CP065311.1_32	246	1.8e-32	1	112	9	119	0.991071428571
Trans_reg_C	77	CP065311.1_32	246	1.7e-24	1	77	153	238	0.987012987013
Response_reg	112	CP065311.1_328	240	1e-17	1	103	5	109	0.910714285714
LytTR	98	CP065311.1_328	240	9.2e-21	2	97	139	229	0.969387755102
Aminotran_1_2	363	CP065311.1_331	386	1.3e-47	3	363	29	382	0.99173553719
Fer4	24	CP065311.1_332	108	1.1e-10	2	23	34	55	0.875
FHA	69	CP065311.1_344	545	4.3e-12	2	69	30	112	0.971014492754
SBP_bac_1	315	CP065311.1_356	372	2.1e-09	6	314	55	341	0.977777777778
Response_reg	112	CP065311.1_357	236	1.2e-28	1	111	4	112	0.982142857143
Trans_reg_C	77	CP065311.1_357	236	3.3e-28	6	77	158	229	0.922077922078
HisKA	64	CP065311.1_358	401	9.9e-13	2	62	149	212	0.9375
HATPase_c	111	CP065311.1_358	401	1.2e-24	4	110	265	373	0.954954954955
HTH_8	42	CP065311.1_386	263	5.5e-07	16	41	205	230	0.595238095238
AAA	132	CP065311.1_39	355	3e-05	2	124	70	196	0.924242424242
Aminotran_1_2	363	CP065311.1_391	406	6.3e-72	2	362	38	398	0.99173553719
SBP_bac_5	377	CP065311.1_417	554	1.6e-59	7	374	96	470	0.973474801061
CHASE3	138	CP065311.1_424	232	4.9e-05	48	134	145	231	0.623188405797
MarR	59	CP065311.1_434	191	4.7e-09	20	57	68	105	0.627118644068
Aminotran_1_2	363	CP065311.1_448	410	7.7e-61	3	355	49	394	0.969696969697
Pkinase	264	CP065311.1_462	468	3.2e-37	1	213	14	223	0.80303030303
AAA	132	CP065311.1_464	413	6.8e-10	1	115	126	240	0.863636363636
FHA	69	CP065311.1_468	205	3.6e-13	3	60	117	186	0.826086956522
HhH-GPD	108	CP065311.1_472	330	2e-14	1	88	70	185	0.805555555556
ACT	67	CP065311.1_475	91	6.6e-10	2	60	5	59	0.865671641791
HTH_DeoR	57	CP065311.1_479	274	1.3e-19	1	55	12	66	0.947368421053
DeoRC	160	CP065311.1_479	274	3.8e-41	6	159	85	242	0.95625
cNMP_binding	88	CP065311.1_484	254	3e-21	2	85	54	141	0.943181818182
Crp	32	CP065311.1_484	254	4.3e-06	3	31	203	231	0.875
NUDIX	131	CP065311.1_492	370	9.4e-18	4	115	234	338	0.847328244275
NUDIX	131	CP065311.1_494	201	7.7e-05	31	115	84	174	0.641221374046
NUDIX	131	CP065311.1_502	189	1.9e-15	11	116	52	160	0.801526717557
LacI	46	CP065311.1_510	353	2.7e-18	1	46	10	55	0.978260869565
Peripla_BP_3	164	CP065311.1_510	353	1.5e-23	3	164	177	350	0.981707317073
SBP_bac_1	315	CP065311.1_514	453	1.3e-35	5	309	49	338	0.965079365079
Nitroreductase	170	CP065311.1_534	341	6.5e-11	3	54	175	226	0.3
